城市,关键字,职位名称,反馈率,公司名称,职位月薪,工作地点,公布时间,职位链接,岗位职责,技能要求,公司地址,保存时间,公司地点,公司性质,公司规模,工作经验,学历要求,职业薪水
北京,.net core,.net/.net core高级研发工程师,,广联达科技股份有限公司,15001-20000,北京-海淀区,招聘中,http://jobs.zhaopin.com/224763818261484.htm,        1.参与技术平台框架的研发，负责产品或模块架构的设计与开发，核心代码的实现；        2.负责解决技术难点，保证开发进度及代码品质；        3.参与项目成员的指导及代码的日常Review工作；                 ,        1.3年以上(B/S架构)开发经验，具有一定的面向对象软件分析、设计能力，可以熟练应用其进行分析和设计，熟悉DDD方法论优先。        2.熟练掌握Asp.netMVC、C#开发，能读懂java项目，掌握SQLServer、MySQL、Oracle中的一种以上，熟悉.netcore优先；        3.熟悉RESTful架构风格，对前后端分离有深入认识和应用经验;        4.偏前端者至少精通vue，angularjs，reactjs等框架中的一种以上，熟练前端构造开发体系;        5.偏后端者至少精通NHeberneit、EF，Dapper.net中的一种以上，java开发人员掌握SpringMVC开发体系，经验丰富也可;        6.熟悉常用消息队列，缓存服务，nosql数据库的使用;        7.熟悉ABP，IdentityServer4，MITREidConnect，Solr，ELK，SpingCloud等开源项目者优先;        8.熟悉Linux，Docker或有大数据分析经验相关者优先。        9.有企业管理行业软件经验者，熟悉BPM，有activity等相关开源项目者优先,北京市海淀区中关村软件园二期E13广联达大厦,2018-03-18,北京-海淀区,民营,1000-9999人,3-5年,本科,15001-20000元/月
北京,.net core,.net开发（Core后端/北苑路北/高薪）,,北京金源茂丰新技术开发有限公司,12000-18000,北京,最近,http://jobs.zhaopin.com/529052025250226.htm, 1.负责公司基于C#/.NETCore的数据采集后端设计和开发。2.能根据项目需求独立完成概要设计和详细设计。3.完成产品模块主要代码编写工作。4.负责一部分实施与运维工作。 , 1、计算机相关专业，2年及以上Asp.Net/WebApi开发经验。2、熟悉设计模式，架构模式，理解IoC框架原理。3、熟悉WebApi、EF、Linq等主流.NET技术。4、了解.NetCore，对微服务架构有一定理解。5、掌握MySql等关系型数据库，有Redis或其它文档数据库经验优先。6、熟练使用Git、Github等团队开发工具。7、熟悉Linux操作，使用过Docker了解简单运维。8、具有较好的沟通表达能力，具有良好的团队精神，善于学习，责任心强。,北京市朝阳区红军营南路15号院瑞普大厦C座1603-1703,2018-03-18,北京,股份制企业,100-499人,3-5年,本科,12000-18000元/月
北京,.net core,软件工程师（.NET/C#/WPF/WinForm）方向,,北京华医共享医疗科技有限公司,8000-16000,北京,最新,http://jobs.zhaopin.com/CC245912133J00030047912.htm,1、负责医疗软件平台工作流模块的开发和维护工作。参与需求分析、架构设计及详细设计文档的编写。2、独立完成功能模块的设计、开发及单元测试；3、完成项目中各阶段文档的书写（软件需求、概要设计、详细设计、单元测试）；4、对开发的产品进行优化、创新，深层次地满足公司或客户需求；5、负责及时反馈实际工作中遇到的问题，开发中的情况，并根据实际情况提出改进及建议；6、参与软件开发和维护过程中重大技术问题的解决；7、完成领导安排的其他工作；,1、2年以上C/S架构产品开发及架构和设计经验；2、精通C#语言，熟悉VisualStudio开发平台；3、熟悉WPF、WP/UWP、XML、或WINFORM编程，对UI开发有丰富经验；4、熟悉对象化编程、设计模式等理念；5、熟练使用MySQL数据库6、对WPF技术及整个解决方案有深刻的理解及熟练的应用，精通设计模式，并在此基础上设计产品框架；7、有医疗软件开发经验者优先，有.NetCore、WebService开发经验者优先；8、良好的语言表达、沟通能力、协调能力、团队合作和具有吃苦耐劳的精神；9、有互联网医疗领域工作经历；,海淀区花园东路10号高德大厦401,2018-03-18,北京,民营,100-499人,1-3年,大专,8000-16000元/月
北京,.net core,.net开发工程师,,踏浪者国际,10001-15000,北京-朝阳区,最近,http://jobs.zhaopin.com/364193011251565.htm,1.参与需求分析，业务功能的分解、设计；2.负责服务端业务层逻辑的设计和实现，客户端界面开发；3.负责编写单元测试，功能模块自测，编写技术文档；4.积极参与团队的各种讨论和技术设计，与项目团队成员协作完成项目；5.富有团队协作精神。,1、本科以上学历，统计、数学、通信、计算机科学与技术等相关专业；2、熟练掌握C#语言，熟练使用OOP思想编程并会Java更优；3、熟练掌握ASP.NETWebForm，ASP.NETMVC，ASP.NETWEBAPI，对UrlRouting深入理解，工作中使用过OAuth2.0，会NVelocity更优；4、新技术掌握ASP.NETCore、MVC6和Mono开发平台，Linux系统下部署Jexus应用服务器；5、熟练掌握JavaScript语言，熟练使用OOP思想编程更优；6、熟练使用JQueryUI框架和各种常用插件开发优先考虑，如validate、cookie、easyui等；7、熟练掌握SQLServer、MySQL，熟练使用MySQL创建多表查询视图，存储过程，自定义函数更优；8、项目使用过NoSQL编程技术优先考虑，如MongoDB，Redis等；对CacheManager.NET设计思想有深入理解更优；9、项目使用过消息队列优先考虑，如RabbitMQ、Kafka等；10、项目使用过微服务开发技术优先考虑，如Akka，DotNetty，ServiceFabric，springcloud等；11、项目使用过Lucene、Solr或ElasticSearch开发技术优先考虑，有多国语言分词开发经历者优先考虑，使用Lucene.net和Solr.net更优；12、有电子商务网站开发经历者优先考虑，有跨境电商开发经历者更优；关于我们1、公司位于5号线附近，交通便利，周围餐饮发达，公司每天都有四菜一汤自助餐！正式入职后每天有餐补哦；2、如果你不喜欢外食，茶水间有冰箱、微波炉，方便爱做饭的你；3、各种节日福利，神马端午，中秋...礼物不重样~4、每月定期员工举办生日会，还有各种零食礼品哦~5、每年都有员工旅游，比如夏天去露营，冬天去滑雪泡温泉等等；6、大型年会party，各种主题各种嗨；,北京市朝阳区红军营南路15号院2号楼四层（瑞普大厦D座）,2018-03-18,北京-朝阳区,民营,1000-9999人,1-3年,本科,10001-15000元/月
北京,.net core,.net工程师,76%,湖南奇门网络科技有限公司,8000-12000,北京,招聘中,http://jobs.zhaopin.com/CC483355789J00061785603.htm,1、参与项目功能系统设计与开发；2、与团队其他成员协作/沟通，解决技术难题；3、根据开发过程中的体验对产品进行改进；,1、专科及以上学历，1-3年以上.Net开发经验；2、精通B/S结构编程；精通ASP.NETCore架构；3、精通MSSQL/MYSQL，精通视图、存储过程、触发器、事务和大数据量优化；有一定的数据库设计能力；4、熟练掌握HTML、JavaScript、DIV+CSS等前端技术；5、熟悉VisualStudio2017开发环境，了解UML等建模语言、PowerDesigner、SVN等常用开发工具；6、有多层架构开发经验，熟悉WebApi、WebService、Linq、EntityFramework、多线程开发；精通MVC+EF框架；7、有规范化、标准化的代码编写习惯，能够编写规范的开发文档；8、有强烈的责任心和团队合作精神及认真的工作态度，沟通能力、学习能力强，良好的执行能力，很好的完成预定任务。,石景山八角游乐园地铁往南500米西鑫大厦,2018-03-18,北京,股份制企业,100-499人,1-3年,大专,8000-12000元/月
北京,.net core,高级.net开发工程师,,北京金和网络股份有限公司,20000-25000,北京,最近,http://jobs.zhaopin.com/120372858253679.htm,1、负责电商平台业务系统相关系统开发、持续改进、性能优化、接口技术支持等.NET相关工作；2、负责电商平台业务系统相关功能及服务的线上环境的稳定运行，确保线上环境的高可用性，及时解决平台相关系统的技术问题；3、负责完成领导安排的其他工作；,1、4年以上.NET研发工作经验，精通C#.net编程语言常用类库，有.NetCore项目实际使用经验；2、熟悉MVC、EntityFramework、WCF、Linq、IOC、反射、多线程、异步调用等技术；3、熟悉SQLServer、MySQL数据库脚本、数据库优化等相关技术；4、熟练掌握面向对象编程思想，并能使用常见设计模式解决项目问题；5、熟悉memcached、Redis、MongoDB、Nginx、KeepAlived等互联网相关技术优先；6、有移动互联网应用设计开发经验优先；,北京市海淀区上地东路1号盈创动力大厦A座北厅401,2018-03-18,北京,上市公司,500-999人,5-10年,本科,20000-25000元/月
北京,.net core,.net软件工程师,,北京辅仁淑凡软件科技有限公司,10001-15000,北京,招聘中,http://jobs.zhaopin.com/CC148271014J00029677511.htm,1. 参与公司产品的需求沟通与评审，对具体模块进行详细设计并编码实现；2. 配合测试及质量控制人员，优化完善产品实现，交付高质量的产出物；3. 编写项目相关模块的技术文档，解决工作中的技术难题。,1．熟悉微软.NET体系架构，有丰富的面向对象开发经验，1年以上微软.NET平台项目开发经验，有大型WEB项目或WPF项目开发经验者优先。2．熟悉.NET平台下的MVC架构，掌握.NET企业级编程技术，了解RestfulAPI设计，了解消息队列、分布式缓存。有.NetCore、Mono、Hadoop、Docker经验者优先。3．熟悉关系型数据库（SQLServer\Oracle\Mysql\Postgresql），可熟练编写SQL语句及存储过程。有NoSQL（Redis、MongoDB）经验者优先。4．有良好的编码习惯和单元测试习惯，能遵循开发流程、文档规范和编码规范，具有清晰的逻辑思维，有钻研精神，具备良好的编程风格和素质，能够快速掌握新知识，具有较强的抗压能力5．有良好的职业素养和沟通交流能力，具有优秀的团队意识和合作精神。,北京市海淀区北京师范大学南院京师科技大厦A座512,2018-03-18,北京,民营,20-99人,1-3年,大专,10001-15000元/月
北京,.net core,高级.NET工程师,,大贲科技(北京)有限公司,20001-30000,北京,招聘中,http://jobs.zhaopin.com/463689581250045.htm,1.基于公司统一的架构，领导、开发增值税管理平台产品。2.辅助复杂技术问题攻关及部门管理工作。3.负责定义和评估工作任务，协助计划的制定及执行。4.指导开发工程师的工作，并进行一些必要的技术培训。  ,1.5年以上开发经验，有丰富的.NET系统开发经验。2.2年底层框架开发经验。担任过架构设计工作。有开源框架的编写经验者更佳。3.精通OOD、设计模式。4.使用过TypeScript、ASP.NETMVC/WebApi、.NETCore、TDD、DDD、SOA、SaaS、GIT等框架或方法者优先。  ,北京市海淀区龙域北街1号金域国际中心A座9,2018-03-18,北京,民营,100-499人,5-10年,本科,20001-30000元/月
北京,.net core,.net 中/高级工程师,,北京市高度国际工程装饰设计股份有限公司,15001-20000,北京,招聘中,http://jobs.zhaopin.com/446613822250863.htm,1.运用.Net(3.5）开发和维护内部系统和公司产品；2.运用WebAPI技术开发RestAPI风格的内部管理软件及公司产品；3.编写模块详细设计文档、开发文档；4.对程序进行单元测试。,1.熟悉WebAPI2.0，能够独立完成系统某个模块的开发；2.对.NET版本的特性有所了解，知道其优缺点；3.熟练运用svn或其它版本控制软件；4.熟悉.NET垃圾回收机制，防止内存泄露；5.熟悉log4net，AutoMapper，Autofac，Dapper等；4.具有良好的编码习惯，很好的学习能力、理解能力；5.具有良好的团队合作精神和沟通能力，能够承受压力。加分项1.开发过ERP系统；2.UML语言基础；3.了解.netcore；4.会设计模式和程序算法；5.可使用Lucene.net进行分词；6.有BPM、工作流、workflow等系统的开发经验。,北京市朝阳区何各庄一号地艺术区D区（集团总部）,2018-03-18,北京,民营,1000-9999人,,不限,15001-20000元/月
北京,.net core,.net 高级工程师,,北京搜房互联网信息服务有限公司/北京搜房网络技术有限公司／北京搜房科技发展有限公司,15000-30000,北京,招聘中,http://jobs.zhaopin.com/120103904257211.htm,1、负责前后台web系统的开发工作，编写开发详细设计文档2、工作内容包括（但不限于）网站的开发和维护；后台数据处理的应用的开发及维护；其他相关工作3、负责开发系统数据流转的服务和作业4、在各种环境中（包括产品环境）对产品后台出现的技术问题进行支持与排错,1、计算机及相关专业，全日制统招大学本科以上学历；2、有扎实的编程功底，热爱编程，3年以上互联网工作经验；3、精通ASP.NET、net开发技术、.NETCore、熟悉开发流程，熟悉C#语言、熟悉面向对象的软件分析、设计方法和设计模式；4、熟悉HTML、CSS、SHTML、XML、JS框架；5、熟悉Mysql、SQLServer，具有优秀的数据库设计和优化能力；熟悉memcache、redis、mongodb等常用nosql解决方案，了解各自的优缺点以及使用场景；6、思维灵敏，性格开朗，责任感强，工作积极主动，具备学习意识，有良好的团队协作精神7、能够对现有的项目提出改进意见并实施，有高负载、大并发、大数据、等方面实践经验优先考虑，对新技术、开源软件有特别兴趣优先考虑,北京市丰台区郭公庄中街20号院A座,2018-03-18,北京,合资,10000人以上,5-10年,本科,15000-30000元/月
