城市,关键字,职位名称,反馈率,公司名称,职位月薪,工作地点,公布时间,职位链接,岗位职责,技能要求,公司地址,保存时间,公司地点,公司性质,公司规模,工作经验,学历要求,职业薪水
北京,.net,.Net高级软件工程师,98%,北京云财信息技术有限公司,15000-30000,北京-海淀区,最新,http://jobs.zhaopin.com/372877180250018.htm,,1、熟练掌握asp.net(c#)服务端语言；2、精通Javascript脚本语言，精通HTML代码、CSS规范；熟练掌握JQuery；3、掌握数据库技术，有SQLSERVER应用开发的经验，对SQL优化有一定的了解；4、有很好的沟通能力，学习能力强、理解能力强；5、计算机，通讯，电子类相关专业统招本科及以上学历；6，仅限二本以上学校及专业。,海淀区上地中关村软件园4号楼D座3层,2018-03-18,北京-海淀区,民营,20-99人,,本科,15000-30000元/月
北京,.net,.NET高级软件工程师,87%,北京国信普瑞德科技发展有限公司,10001-15000,北京,最新,http://jobs.zhaopin.com/12089110690250205000.htm,,1、计算机及相关专业本科及以上学历，具备良好的数据结构、软件工程等计算机软件基础理论知识。2、精通.NET开发工具，精通C#语言及ASP.net开发；3、有三个以上B/S项目参与开发经验，对企业应用系统深入理解；4、有进销存系统、管理信息系统开发经验者优先；5、精通数据库基本原理，有MicrosoftSQLserver开发经验；6、人品正直、诚信，具备较强的责任心和团队合作精神，良好的职业道德及沟通能力；7、对新技术新知识敏感，有较强的学习和吸收能力；8、良好的编程风格，工作积极主动，有独立工作能力，有创造性，责任心强，刻苦耐劳，能承受较大的工作压力；,北京市西城区,2018-03-18,北京,民营,20-99人,3-5年,本科,10001-15000元/月
北京,.net,.NET软件工程师,59%,北京国信普瑞德科技发展有限公司,6000-10000,北京,最新,http://jobs.zhaopin.com/12089110690250203000.htm,,1.一年以上.NET项目开发经验；2.熟悉.NET设计模式及建模工具；3.Web开发技术基础扎实、全面；充分了解Web应用开发流程，对Web开发应用架构有清晰的认知；4.精通ASP.NET、JavaScript、Html、CSS、XML、Ajax开发；5.熟悉ASP.Net MVC开发架构，对WCF、WebApi有一定的开发经验。6.熟练使用SQLSERVER或MySQL数据库开发；7.责任心强，学习能力和团队合作精神强，能够承受较强的工作压力， 思维清晰，良好的沟通能力和表达能力；,北京市西城区,2018-03-18,北京,民营,20-99人,1-3年,大专,6000-10000元/月
北京,.net,C# 、ASP.net 软件工程师,53%,北京乐鸟科技有限公司,6001-8000,北京,最新,http://jobs.zhaopin.com/CC274658338J00025238812.htm,,具备独立完成项目能力。7、热爱编程，刻苦学习，有意向在“云架构”产品研发继续学习。8、计算机或相关专业大专及以上学历；工作内容1、参与系统的需求调研和需求分析，撰写相关技术文档2、搭建系统开发环境，完成系统框架和核心代码的实现3、项目概要设计、详细设计、开发计划等编创与实施4、系统开发测试、部署和集成5、负责解决开发、运行过程中的技术问题6、参与代码维护与备份7、协助上级完成任务和公司产品的推广开发产品1、云服务器，物联网通讯数据的服务程序编写C#语言。2、客户端软件的编写，属于物联网终端。3、服务器端C#软件编写，管理服务器和用户数据管理查看。4、云数据中心。,北京市昌平区沙河万家创业园7号楼3层7312房间,2018-03-18,北京,合资,20-99人,1-3年,本科,6001-8000元/月
北京,.net,.net高级软件工程师,72%,无敌猫信息技术(北京)有限公司,16000-23000,北京,最新,http://jobs.zhaopin.com/49830382490250018000.htm,1.三年以上NET平台开发经验；2.精通C#语言，熟悉VisualStudio集成开发环境，熟练配置服务器IIS； 3.熟悉HTTP协议，熟悉HTML、JAVASCRIPT/AJAX、DIV+CSS、XML等相关Web l ,1.精通SQL语言，掌握SQLServer数据库设计与开发，了解数据库管理、性能优化等基本操作技能； 2.深入理解B/S架构，掌握NET平台的开发模型与框架； 3.熟悉设计模式，具有较强的面向对象的分析和设计能力，能熟练应用设计模式； 4.在项目中使用过WCF/WebService技术； 5.具有较强的责任心，良好的沟通能力，认真实干的工作态度；6.有各行业ERP系统开发经验者优先。,北京市海淀区西三旗富力桃园12号楼B1-101号,2018-03-18,北京,民营,20人以下,3-5年,不限,16000-23000元/月
北京,.net,.net软件工程师,66%,无敌猫信息技术(北京)有限公司,12000-16000,北京,最新,http://jobs.zhaopin.com/49830382490250019000.htm,1.两年以上NET平台开发经验；2.精通C#语言，熟悉VisualStudio集成开发环境，熟练配置服务器IIS； 3.熟悉HTTP协议，熟悉HTML、JAVASCRIPT/AJAX、DIV+CSS、XML等相关Web l ,1.精通SQL语言，掌握SQLServer数据库设计与开发，了解数据库管理、性能优化等基本操作技能； 2.深入理解B/S架构，掌握NET平台的开发模型与框架； 3.熟悉设计模式，具有较强的面向对象的分析和设计能力，能熟练应用设计模式； 4.在项目中使用过WCF/WebService技术； 5.具有较强的责任心，良好的沟通能力，认真实干的工作态度；6.有各行业ERP系统开发经验者优先。,北京市海淀区西三旗富力桃园12号楼B1-101号,2018-03-18,北京,民营,20人以下,3-5年,不限,12000-16000元/月
北京,.net,.NET软件开发工程师 (北京),,北京乐在指尖科技有限公司,10000-15000,北京,最新,http://jobs.zhaopin.com/CZ266593930J00029485914.htm,,,朝阳区汉威大厦,2018-03-18,北京,民营,20-99人,3-5年,本科,10000-15000元/月
北京,.net,.net软件工程师,,北京金木堂文化发展有限公司,10000-17000,北京,最新,http://jobs.zhaopin.com/670237728250469.htm,1、负责公司技术平台的技术开发和维护。2、完成领导安排的其他工作。,1.2-3年.net开发经验；2.熟练掌握C#、精通wpf；mvvm模式（做过项目也可以）、多线程等技术；,北京市朝阳区管庄乡1号北岛大厦A401,2018-03-18,北京,民营,20-99人,3-5年,本科,10000-17000元/月
北京,.net,.net高级软件开发工程师,,竞优信息技术(上海)有限公司北京分公司,10001-15000,北京,最新,http://jobs.zhaopin.com/152665014250111.htm,1.参与项目前期分析和设计工作，协助进行UML和流程的整理，编写相关文档2.负责核心框架与核心代码的开发3.负责指导开发人员进行功能的开发4.负责功能代码质量审核工作，并控制算法和编写规范5.参与系统部署工作，并编写相关文档6.参与技术培训和资料编写工作,1.26-35岁，本科以上学历，计算机相关专业2.四年以上.NET开发经验，精通ASP.Net、ADO.Net等.NET框架技术3.精通面向对象编程和设计，能够使用UML、Viso进行业务分析和流程设计4.熟练使用vs，并可以进行代码调试、单元测试5.精通MSSQLSERVER或Oracle数据库，具备数据建模能力6.精通Javascript、Ajax、css、Jquery等前端Web应用7.具备很强的学习能力及解决技术难题能力8.具备良好的代码编写习惯，对工作有责任心，具有良好的沟通和团队协作能力,北京市朝阳区八里庄西里100号住邦2000商务中心2号楼,2018-03-18,北京,外商独资,100-499人,3-5年,本科,10001-15000元/月
北京,.net,.net软件开发工程师,,竞优信息技术(上海)有限公司北京分公司,8001-10000,北京,最新,http://jobs.zhaopin.com/152665014250107.htm,1.负责业务模块代码编写工作2.负责代码单元测试工作，并编写相关文档3.按时按量完成功能的开发工作4.与测试工程协同，完成程序修改，解决系统bug,1.24-35岁，本科以上学历，计算机相关专业2.两年以上ASP.NET实际开发经验，熟悉asp.netado.net3.能熟练使用vs2010或vs2012进行开发和调试的工作4.熟悉MSSQLServer或Oracle数据库，了解视图、存储过程、函数等数据库对象5.熟悉javascript、ajax、css、jquery等web技术6.良好的代码规范能力和文档编写能力7.良好的团队合作精神、较强的自学能力和问题分析能力,北京市朝阳区八里庄西里100号住邦2000商务中心2号楼,2018-03-18,北京,外商独资,100-499人,,本科,8001-10000元/月
北京,.net,软件工程师（.NET/C#/WPF/WinForm）方向,,北京华医共享医疗科技有限公司,8000-16000,北京,最新,http://jobs.zhaopin.com/CC245912133J00030047912.htm,1、负责医疗软件平台工作流模块的开发和维护工作。参与需求分析、架构设计及详细设计文档的编写。2、独立完成功能模块的设计、开发及单元测试；3、完成项目中各阶段文档的书写（软件需求、概要设计、详细设计、单元测试）；4、对开发的产品进行优化、创新，深层次地满足公司或客户需求；5、负责及时反馈实际工作中遇到的问题，开发中的情况，并根据实际情况提出改进及建议；6、参与软件开发和维护过程中重大技术问题的解决；7、完成领导安排的其他工作；,1、2年以上C/S架构产品开发及架构和设计经验；2、精通C#语言，熟悉VisualStudio开发平台；3、熟悉WPF、WP/UWP、XML、或WINFORM编程，对UI开发有丰富经验；4、熟悉对象化编程、设计模式等理念；5、熟练使用MySQL数据库6、对WPF技术及整个解决方案有深刻的理解及熟练的应用，精通设计模式，并在此基础上设计产品框架；7、有医疗软件开发经验者优先，有.NetCore、WebService开发经验者优先；8、良好的语言表达、沟通能力、协调能力、团队合作和具有吃苦耐劳的精神；9、有互联网医疗领域工作经历；,海淀区花园东路10号高德大厦401,2018-03-18,北京,民营,100-499人,1-3年,大专,8000-16000元/月
北京,.net,.NET软件开发工程师,52%,北京宏贤达物流集团有限公司,10000-16000,北京,最新,http://jobs.zhaopin.com/131692154250407.htm,1、能独立设计相关框架和应用模块，参与物流电子商务平台系统需求分析，架构设计，开发，升级，优化及维护；2、负责物流系统的日常运维与响应支持；3、熟悉图书物流行业ERP，有相关项目经验者优先；4、具备良好的逻辑思维，分析和解决问题的能力；5、有强烈的责任心，和良好的团队协作能力。,1、计算机相关专业专科以上学历，.NET开发工作3年以上开发经验；2、精通.NET平台、C#，.NETFramework框架，ASP.Net、MVC、C#、Web API、Web Service、html、css、ajax等，熟悉企业级应用的设计与开发，B/S相关的开发技术并熟练使用Visual Studio开发环境；3、需熟悉Sliverlight开发及WPF开发；4、熟悉Windows Server服务器、iis服务等，有能力独立解决服务器相关问题；5、熟悉android代码开发，能独立完成android项目；6、熟悉并掌握SQL SERVER数据库的应用、开发、调优及SQL存储过程编写，有海量数据处理经验；7、有基本的数据结构，算法等知识，对面向对象编程思想有深刻理解并根据设计文档完成较高复杂度的模块开发；8、国家统招学历本科及以上享受高额学历薪资补贴；9、工作地点大兴或固安。,大兴区黄村镇桂村贵达路3号,2018-03-18,北京,民营,1000-9999人,3-5年,大专,10000-16000元/月
北京,.net,.NET C/S工程师20180104,,北京华宇泰聚科技有限公司,8000-12000,北京-海淀区,最新,http://jobs.zhaopin.com/638724227250971.htm,,,北京市海淀区,2018-03-18,北京-海淀区,民营,20-99人,,不限,8000-12000元/月
北京,.net,.net工程师20180104,,北京华宇泰聚科技有限公司,8000-12000,北京-海淀区,最新,http://jobs.zhaopin.com/638724227250970.htm,,1、精通ASP.NET开发，熟悉.NET平台框架；并有两年以上asp.net网站实际开发工作经验；2、熟练掌握HTML，DIV，CSS，JavaScript，Ajax，jquery等WEB前端技术。能够独立快速完成网站页面的页面动态效果，确保各浏览器兼容；3、熟练应用ASP.NET，精通C#语言，具有良好的编程习惯，掌握ASP.NET MVC基础；4、熟悉MSSQL等数据库，能够编写基本SQL语言；5、熟悉面向对象编程和多层架构的设计和开发，了解设计模式；,北京市海淀区,2018-03-18,北京-海淀区,民营,20-99人,1-3年,不限,8000-12000元/月
