城市,关键字,职位名称,反馈率,公司名称,职位月薪,工作地点,公布时间,职位链接,岗位职责,技能要求,公司地址,保存时间,公司地点,公司性质,公司规模,工作经验,学历要求,职业薪水
北京,推荐算法,22090-天天快报-推荐算法工程师（北京）,,深圳腾讯计算机系统有限公司,面议,北京,最新,http://jobs.zhaopin.com/120072290295479.htm,负责天天快报短视频推荐算法工作。,计算机或相关专业本科以上学历，三年以上的互联网工作经验；熟悉常用的推荐算法，深入理解常见机器学习或数据挖掘算法原理，熟悉常见的统计原理及方法；有大数据分析工具相关的使用经验，熟悉Hadoop、Spark开发；良好的数据意识，能结合产品通过数据分析发现有价值信息。,,2018-03-18,北京,民营,10000人以上,无经验,,
北京,推荐算法,WXG08-122 微信推荐数据挖掘算法工程师,,深圳腾讯计算机系统有限公司,面议,北京,最新,http://jobs.zhaopin.com/120072290295717.htm,负责用户兴趣标签的提取挖掘负责用户人群挖掘和协同挖掘；负责第三方用户行为分析和画像挖掘；负责用户行为数据分析及新技术点孵化；负责海量用户数据挖掘算法的研究应用。,计算机相关专业硕士及以上学历，两年以上的互联网工作经验；熟练掌握C/C++，Java，python等编程语言，熟练使用linux环境；熟悉常用的自然语言处理、机器学习、数据挖掘算法，并有相关项目经验；参与过搜索引擎、推荐系统、对话系统和广告系统等线上系统者优先；参与过知识图谱、排序、点击率预估、语义匹配等模块的优先；责任心强，积极主动，勇于接受挑战，具有良好的团队合作和沟通能力。,,2018-03-18,北京,民营,10000人以上,无经验,,
北京,推荐算法,WXG01-122 推荐系统算法工程师（北京）,,深圳腾讯计算机系统有限公司,面议,北京,最新,http://jobs.zhaopin.com/120072290295883.htm,负责微信数据推荐项目的离线数据挖掘工作，微信生态内的公众号文章，知识图谱，用户建模等数据挖掘工作。负责推荐系统相关模型工作的研发，将离线数据挖掘的结果融合到推荐策略或者排序模型中实际应用。,具备优秀的问题分析和和归纳能力，能够分析少量数据总结算法，大规模应用;熟练使用一种或多种通用编程语言，包括但不限于C/C++、Python等；有推荐系统、数据挖掘、深度学习知识背景者优先。,,2018-03-18,北京,民营,10000人以上,无经验,,
北京,推荐算法,WXG08-122 微信推荐自然语言处理算法工程师（北京）,,深圳腾讯计算机系统有限公司,面议,北京,最新,http://jobs.zhaopin.com/120072290295716.htm,负责微信推荐系统文本关键词提取，分类，主题分析等自然语言处理工作负责微信推荐系统文本语义分析、知识图谱，大规模网络表示学习与异构网络建模等研究和优化工作；负责微信推荐深度学习语义推荐及平台系统建设等前沿探索工作。,计算机相关专业硕士及以上学历，两年以上的互联网工作经验；熟练掌握C/C++，Java，python等编程语言，熟练使用linux环境；熟悉常用的自然语言处理、机器学习、数据挖掘算法，并有相关项目经验；参与过搜索引擎、推荐系统、对话系统和广告系统等线上系统者优先；参与过知识图谱、排序、点击率预估、语义匹配等模块的优先；责任心强，积极主动，勇于接受挑战，具有良好的团队合作和沟通能力。,,2018-03-18,北京,民营,10000人以上,无经验,,
北京,推荐算法,推荐系统-算法工程师,,北京新媒传信科技有限公司(中国移动飞信开发及运营机构),20000-40000,北京,最新,http://jobs.zhaopin.com/146937783257250.htm,1、负责个性化推荐系统的系统设计，开发和迭代，不断提升推荐效果；2、改进推荐引擎架构，服务端API开发，提升在线推荐系统的性能、稳定性、扩展性；3、主导推荐策略设计，为推荐策略迭代提供高效和灵活的架构支撑；4、基于数据挖掘和机器学习算法，针对业务场景设计和完善用户模型、内容模型和特征体系；5、负责特征工程、CTR预估、排序学习等模型和算法的持续优化和研究，持续提升产品体验和商业价值。,1、本科以上学历，数据挖掘或机器学习方向硕士研究生学历优先；2、至少3年以上的大型互联网推荐系统、广告算法经验；3、熟悉互联网推荐系统的基础知识与理论，对推荐、CTR预估、排序技术有深入的理解；4、精通分类、聚类、特征选择及降维等常用数据挖掘技术，熟悉常见机器学习和推荐算法；5、精通Python语言，对数据结构和算法有深入的理解；6、精通Hadoop，熟悉LR/GBDT/FTRL，熟悉Spark或Sklearn，具备大规模分布式系统的调试、调优能力；7、具备良好的团队合作精神、务实、接地气，具有较强的沟通能力、优秀的分析和解决问题的能力，对挑战性问题充满激情。,北京市朝阳区北苑路甲13号院北辰泰岳大厦1塔18层,2018-03-18,北京,上市公司,1000-9999人,3-5年,本科,20000-40000元/月
北京,推荐算法,推荐算法工程师,,爱卡汽车网,20001-30000,北京,招聘中,http://jobs.zhaopin.com/210122813254170.htm,1.搭建和优化推荐、排序系统，提供稳定的线上服务2.通过对数据和业务的挖掘，持续给出优化、升级方案3.跟踪推荐技术发展，发掘新技术的应用场景,1.优秀的代码能力，良好的数据结构、算法基础、系统设计能力2.对推荐系统、机器学习、大数据处理感兴趣，有推荐系统、搜索引擎、广告计算等理论基础和实践经验3.了解常见的分布式计算平台或深度学习框架中的一个或者多个，包括但不限于Spark、MXNet、Caffe、Tensorflow等,北京市朝阳区北四环中路27号盘古大观写字楼A座16F-17F,2018-03-18,北京,外商独资,1000-9999人,1-3年,本科,20001-30000元/月
北京,推荐算法,推荐算法工程师J10125,100%,北京百分点信息科技有限公司,15001-20000,北京-朝阳区,招聘中,http://jobs.zhaopin.com/279606915251947.htm,1.负责推荐算法的开发.针对不同场景设计与搭建个性化推荐系统算法模块，优化推荐效果；2.负责特征工程相关开发，扩充特征维度,1.精通java语言开发，具有良好的编程习惯，一年以上算法开发经验；2.熟悉linux平台，熟悉c++/python/shell等语言;3.有一定的算法基础，对常用的推荐算法如itemcf/svd/gbdt/lr等有一定了解；4.熟悉机器学习原理与算法，能熟练运用分类、回归、排序等模型解决相关问题;5.有良好的沟通表达能力和团,北京市朝阳区北辰西路8号院2号楼北辰世纪中心A座16层,2018-03-18,北京-朝阳区,外商独资,500-999人,3-5年,本科,15001-20000元/月
北京,推荐算法,推荐算法工程师-北京-12324,,优信集团,15000-30000,北京,招聘中,http://jobs.zhaopin.com/431920112266208.htm,人工智能岗位职责职责1.结合公司业务特点，进行相关推荐算法的调研和实现；2.追踪个性化推荐、NLP和机器学习领域的前沿技术，将前沿技术应用于实际业务。任职要求,任职条件1.熟悉python，能够熟练地进行数据分析和处理；2.熟悉机器学习常用算法，并有相关项目经验；3.了解hadoop/hive/spark等大数据平台并有实际经验；4.快速的开发能力，对工作认真负责；5.有推荐系统或者广告系统实践经验者，优先考虑；6.了解深度神经网络，有Tensorflow/Keras等框架的应用经验者，优先考虑。,北京市朝阳区望京广顺南大街利星行中心E座西门3层(地铁14号线阜通站C口北侧),2018-03-18,北京,外商独资,1000-9999人,1-3年,本科,15000-30000元/月
北京,推荐算法,高级算法工程师-推荐方向(039309),,京东金融,面议,北京-大兴区,招聘中,http://jobs.zhaopin.com/192921312309517.htm,1、参与京东海外金融分推荐&预测型搭建和具体问题解决方案的设计工作，和业务团队及产品经理一道，了解业务背景及需求； 2、运用机器学习相关技术，对海量数据进行处理和分析，挖掘相关信息，建立模型，分析关键因素，优化推荐和精准营销相关产品； 3、基于大数据平台，提取、处理业务数据，通过数据分析和数据挖掘，给出直观的结论及业务洞见； 4、跟进数据挖掘，机器学习相关技术的业界发展，并合理的运用到实际产品中，开发机器学习模型及算法来预测特定指标，如用户行为模型、用户倾向等，开发优化模型和系统，给出最优决策。,1、计算机相关专业，本科以上学历； 2、良好的编程能力和代码风格，熟练掌握R，python、java或者C/C++编程，熟悉scala编程优先； 3、在推荐、搜索、自然语言处理，计算机视觉，语音任一相关领域有一定理解或应用经验，有hadoop、spark应用经验者优先； 4、熟悉常用机器学习算法，有深度学习理论与实践经验者优先； 5、对商业和业务逻辑敏感，具备良好的逻辑分析能力、组织沟通能力和团队精神，乐于分享、勇于承担；6、英文读写，听说较好者优先； 7、有从事过推荐项目的优先。更多职位动态，敬请关注微信公众号“京东金融招聘”,北京市大兴区经海路亦庄京东总部A座,2018-03-18,北京-大兴区,外商独资,1000-9999人,3-5年,本科,
北京,推荐算法,推荐算法工程师,,北京达佳互联信息技术有限公司,15000-30000,北京-海淀区,招聘中,http://jobs.zhaopin.com/264657883250047.htm,1、分析海量用户行为数据和视频数据，增加有效的特征，提升用户体验 2、理解视频内容，挖掘用户兴趣2、通过超大规模机器学习模型和系统，使用先进的检索和排序手段，优化社区生态，优化快手的推荐效果 3、搭建推荐系统框架，提供高效可靠的线上服务,1、优秀的编码与代码控制能力，有扎实的数据结构和算法功底 2、良好的逻辑思维能力，能够从海量数据中发现关键特征 3、熟悉linux开发环境，熟悉C++和python语言 4、熟悉大规模数据挖掘、机器学习、视频内容理解，分布式计算中一项或多项，具备实际工作经验 5、有机器学习算法优化理论的研究经验优先,五道口,2018-03-18,北京-海淀区,外商独资,100-499人,3-5年,本科,15000-30000元/月
