城市,关键字,职位名称,反馈率,公司名称,职位月薪,工作地点,公布时间,职位链接,岗位职责,技能要求,公司地址,保存时间,公司地点,公司性质,公司规模,工作经验,学历要求,职业薪水
北京,数据分析,数据分析、python、大数据兼职讲师,92%,北京大讲台科技有限公司,6001-8000,北京,最新,http://jobs.zhaopin.com/CC282024680J00027695309.htm,职位描述1、配合教学总监研发符合市场需求的课程体系2、配合数据分析、spark、python、项目课程研发和后期优化；3、配合教学总监完成相关教学资料（实训大纲、教学PPT、教学案例等）的研发工作4、按照课程体系、教学大纲高质量完成网络授课,1.本科及以上学历，计算机相关专业，3年以上工作经验；2.熟练掌握数据分析、spark、python、项目工具，如SPSS、Matlab、SAS、Python、R等，具备快速模型求解与优化的能力。3.善于沟通，良好的表达能力，乐于技术分享。4.具有较强分析问题和解决问题能力。5.有大数据开发、数据挖掘、数据分析、数据仓库、推荐算法等开发经验者优先。6.有过培训课程授课经验，能按要求自行制作课件者优先考虑。长期招聘兼职讲师，hadoop、spark、人工智能、python、数据分析,北京市海淀区车公庄西路甲19号,2018-03-18,北京,民营,20人以下,3-5年,本科,6001-8000元/月
北京,数据分析,退伍军人 实习生优先/6K聘金融数据分析助理,93%,北京万向卓迹商贸有限公司,8001-10000,北京,最新,http://jobs.zhaopin.com/424426231250101.htm, （没有销售性质，无经验者通过面试后可免费带薪培训）分析数据--判断未来趋势--细心--及时1.严格执行公司各项制度，协助项目经理完成日常工作；2.按照部门主管的要求进行项目数据的搜集或整理；3.配合其他部门有关工作；4.遵守公司的各项管理制度，承办领导交办的其他工作。,  1.18-35周岁，大本及其以上学历;性别不限、专业不限，退伍军人优先考虑；2.性格开朗，诚实守信、踏实勤奋，工作积极主动；3.沟通表达能力强，较强的团队意识和协作精神；4.能承受较强的工作压力，且有强烈的上进心。 薪资待遇  1、薪资6L-1W5＋岗位分红+五险一金2、完整晋升空间。每三个月有一次晋升机会，每次薪资涨幅4000-50003、保障安全有五险一金4、每月有高温和交通补助，薪资福利齐全我们应当努力奋斗，有所作为。这样，我们就可以说，我们没有虚度年华，并有可能在时间的沙滩上留下我们的足迹。人生有一种遗憾叫做“因为不够了解而错过”，期待拥有梦想的你。直接投递简历，公司会当天审核，审核通过后会通知面试公司地址北京市朝阳区东三环南路25号北京汽车大厦1402.公司主页http//www.onewaycn.com人事部电话010-58410280 13381481665(对职位有疑问或有兴趣者，请积极与HR联系）人事部邮箱xiaxue@trade-bj.com  人事部经理夏雪,北京市朝阳区潘家园北京汽车大厦1402室,2018-03-18,北京,合资,100-499人,无经验,本科,8001-10000元/月
北京,数据分析,公司直招金融数据分析岗位 底薪8K,93%,北京万向天乾科技有限公司,6001-8000,北京-朝阳区,最新,http://jobs.zhaopin.com/371117782250276.htm,  （无经验者通过面试后可免费带薪培训）1.严格执行公司各项制度，并定期整理交易数据，向上级领导账户分析结果；2.按照部门主管的要求进行技术和基本面规律的分析，进行数据的搜集或整理；3.配合其他部门有关工作；4.遵守公司的各项管理制度，承办领导交办的其他工作。 ,  1.有志于立足金融行业，梦想成为金融市场顶尖中的佼佼者2.有很强的分析能力，擅长或喜爱金融投资工作，不惧失败，勤奋刻苦3.敢于面对挑战4.人品端正，有责任心，对公司资金高度负责，严格执行安全控制5.富有团队精神，和同事和谐相处6.有稳定定盈利记录者优先，有证券、期货、外汇及相关金融衍生品投资经验者优先薪资待遇 1、薪资底薪6000＋交通高温补助+五险一金2、完整晋升空间。每三个月有一次晋升机会，每次薪资涨幅4000-50003、保障安全有五险一金4、每月有高温和交通补助福利待遇1、每月享有带薪病假，休息时也会有工资拿；2、弹性的工作时间，让你工作自由安排；3、提供各种高大上下午茶及零食；4、各种高端大气上档次的团队建设；5、专属每位员工的生日派对、礼物、和小伙伴们最真挚的祝福6、不定时不定量的微信抢红包的惊喜活动，等你来抢；7、神一般的队友，激情四溢朝气蓬勃的团队工作氛围；8、饭补、话补、交通补、结婚红包、每年两次的加薪机会，每月的绩效奖金，年底红包等丰厚的福利等着你； 直接投递简历，公司会当天审核，审核通过后会通知面试。公司地址北京市东城区白桥大街15号嘉禾国信大厦CD座309人事部经理王鑫18811550439,北京万向天乾科技有限公司,2018-03-18,北京-朝阳区,,,,大专,6001-8000元/月
北京,数据分析,数据分析经理（产品方向）,98%,智联招聘集团运营中心,15000-25000,北京,招聘中,http://jobs.zhaopin.com/CC514505389J00063910903.htm,1、对产品售卖的数据进行整理、分析，了解产品售卖状况，分析产品生命周期。2、根据数据及集团的销售策略，制定产品策略，管理产品，完成产品定价工作。3、对竞品的产品、功能及售卖政策进行监控，建立竞品监控体系。4、完善产品品类管理，协助售卖及分析数据可视化。 ,1、本科及以上学历，数学相关专业或有过产品数据分析经验优先；2、3年以上互联网相关经历，有过产品管理经验优先；3、对互联网产品管理有深刻的认识，对数据敏感，善于产品研究及设计，有独立的分析能力4、具有较强信息搜集及整合能力，有优秀的产品组合售卖理解；5、对工作热情，良好的团队合作精神，强烈的进取心；,北京市望京阜荣街10号首开广场5层,2018-03-18,北京,合资,1000-9999人,3-5年,本科,15000-25000元/月
北京,数据分析,地铁沿线公司直招金融数据分析师 五险双休,92%,北京万向天乾科技有限公司,8001-10000,北京-丰台区,最新,http://jobs.zhaopin.com/371117782250268.htm,  （无经验者通过面试后可免费带薪培训）1.严格执行公司各项制度，并定期整理交易数据，向上级领导账户分析结果；2.按照部门主管的要求进行技术和基本面规律的分析，进行数据的搜集或整理；3.配合其他部门有关工作；4.遵守公司的各项管理制度，承办领导交办的其他工作。 ,  1.有志于立足金融行业，梦想成为金融市场顶尖中的佼佼者2.有很强的分析能力，擅长或喜爱金融投资工作，不惧失败，勤奋刻苦3.敢于面对挑战4.人品端正，有责任心，对公司资金高度负责，严格执行安全控制5.富有团队精神，和同事和谐相处6.有稳定定盈利记录者优先，有证券、期货、外汇及相关金融衍生品投资经验者优先薪资待遇 1、薪资底薪6000＋交通高温补助+五险一金+全勤 2、完整晋升空间。每三个月有一次晋升机会，每次薪资涨幅4000-50003、保障安全有五险一金4、每月有高温和交通补助福利待遇1、每月享有带薪病假，休息时也会有工资拿；2、弹性的工作时间，让你工作自由安排；3、提供各种高大上下午茶及零食；4、各种高端大气上档次的团队建设；5、专属每位员工的生日派对、礼物、和小伙伴们最真挚的祝福6、不定时不定量的微信抢红包的惊喜活动，等你来抢；7、神一般的队友，激情四溢朝气蓬勃的团队工作氛围；8、饭补、话补、交通补、结婚红包、每年两次的加薪机会，每月的绩效奖金，年底红包等丰厚的福利等着你；直接投递简历，公司会当天审核，审核通过后会通知面试。公司地址北京市东城区白桥大街15号嘉禾国信大厦CD座309人事部经理王鑫18811550439,北京万向天乾科技有限公司,2018-03-18,北京-丰台区,,,,大专,8001-10000元/月
北京,数据分析,来万向金融数据分析师，给你不一样的人生,93%,北京万向卓迹商贸有限公司,6001-8000,北京,最新,http://jobs.zhaopin.com/308028988254855.htm, （无经验者通过面试后可免费带薪培训）1.严格执行公司各项制度，，并定期整理交易数据，向上级领导账户分析结果；2.按照部门主管的要求进行技术和基本面规律的分析，进行数据的搜集或整理；3.配合其他部门有关工作；4.遵守公司的各项管理制度，承办领导交办的其他工作。 , 1.18-35周岁，大本及其以上学历;性别不限、专业不限，退伍军人前考虑；2.性格开朗，诚实守信、踏实勤奋，工作积极主动；3.沟通表达能力强，较强的团队意识和协作精神；4.能承受较强的工作压力，且有强烈的上进心。 薪资待遇 1、薪资6000＋交通补助+饭补+高温补助+五险一金+年底双薪2、完整晋升空间。每三个月有一次晋升机会，每次薪资涨幅4000-50003、保障安全有五险一金4、每月有高温和交通补助福利待遇 1、每月享有带薪病假，休息时也会有工资拿；2、弹性的工作时间，让你工作自由安排；3、提供各种高大上下午茶及零食；4、各种高端大气上档次的团队建设；5、专属每位员工的生日派对、礼物、和小伙伴们最真挚的祝福6、不定时不定量的微信抢红包的惊喜活动，等你来抢；7、神一般的队友，激情四溢朝气蓬勃的团队工作氛围；8、饭补、话补、交通补、结婚红包、每年两次的加薪机会，每月的绩效奖金，年底红包等丰厚的福利等着你；9、最重要的是来到这里，你将拥有最广阔的职业发展空间，最充足的资源支持，最人性化的管理，不管你在那个岗位，只要你可做，就有机会成为部门leader进而走进公司高级管理层。公司荣誉第三届中国行业影响力品牌夏季峰会暨2016双创中国行电视盛典”于2016年8月26日在北京京西宾馆隆重召开。北京万向联合控股集团有限公司创始人臧广昊先生出席论坛。共有34家媒体报道，tp//news.chinacw.cn/html/201609/7948605.html视频资料http//player.youku.com/player.php/sid/XMTcyNDg0NjQ2NA==/v.swf  那么请点击“立即申请”或通过以下方式联系我们人事经理孙茜公司网址www.finance-bj.com联系电话17718337510公司地址北京市朝阳区潘家园（10号线、14号线直达）公司名称万向联合控股集团有限公司工作地址北京市朝阳区潘家园北京汽车大厦1402室,北京市朝阳区潘家园北京汽车大厦1402室工作地址北京市朝阳区潘家园北京汽车大厦1402室,2018-03-18,北京,股份制企业,500-999人,,大专,6001-8000元/月
北京,数据分析,数据分析兼职讲师招聘,100%,北京大讲台科技有限公司,6001-8000,北京,最新,http://jobs.zhaopin.com/CC282024680J00027783809.htm,职位描述1、配合教学总监研发符合市场需求的课程体系2、配合数据分析、spark、python、项目课程研发和后期优化；3、配合教学总监完成相关教学资料（实训大纲、教学PPT、教学案例等）的研发工作4、按照课程体系、教学大纲高质量完成网络授课,1.本科及以上学历，计算机相关专业，3年以上工作经验；2.熟练掌握数据分析、spark、python、项目工具，如SPSS、Matlab、SAS、Python、R等，具备快速模型求解与优化的能力。3.善于沟通，良好的表达能力，乐于技术分享。4.具有较强分析问题和解决问题能力。5.有大数据开发、数据挖掘、数据分析、数据仓库、推荐算法等开发经验者优先。6.有过培训课程授课经验，能按要求自行制作课件者优先考虑。长期招聘兼职讲师，hadoop、spark、人工智能、python、数据分析,北京市海淀区车公庄西路甲19号,2018-03-18,北京,民营,20人以下,1-3年,本科,6001-8000元/月
北京,数据分析,❤金融数据分析助理及实习生（月薪8K）五险一金 weekend,95%,北京万向卓迹商贸有限公司,8001-10000,北京,最新,http://jobs.zhaopin.com/424426231250012.htm,,,北京市朝阳区潘家园北京汽车大厦1402室,2018-03-18,北京,合资,100-499人,,本科,8001-10000元/月
北京,数据分析,数据分析师助理 文职岗位 6k+双休,91%,北京万向卓迹商贸有限公司,8001-10000,北京-朝阳区,最新,http://jobs.zhaopin.com/409386535251383.htm, （没有销售性质，无经验者通过面试后可免费带薪培训） 1.严格执行公司各项制度，协助项目经理完成日常工作；2.按照部门主管的要求进行项目数据的搜集或整理；3.配合其他部门有关工作；4.遵守公司的各项管理制度，承办领导交办的其他工作。, 1.18-35周岁，大专及其以上学历;性别不限、专业不限，退伍军人前考虑；2.性格开朗，诚实守信、踏实勤奋，工作积极主动；3.沟通表达能力强，较强的团队意识和协作精神；4.能承受较强的工作压力，且有强烈的上进心。  薪资待遇  1、薪资6000＋交通高温补助+五险一金2、完整晋升空间。每三个月有一次晋升机会，每次薪资涨幅4000-50003、保障安全有五险一金4、每月有高温和交通补助福利待遇 1、每月享有带薪病假，休息时也会有工资拿；2、弹性的工作时间，让你工作自由安排；3、提供各种高大上下午茶及零食；4、各种高端大气上档次的团队建设；5、专属每位员工的生日派对、礼物、和小伙伴们最真挚的祝福6、不定时不定量的微信抢红包的惊喜活动，等你来抢；7、神一般的队友，激情四溢朝气蓬勃的团队工作氛围；8、饭补、话补、交通补、结婚红包、每年两次的加薪机会，每月的绩效奖金，年底红包等丰厚的福利等着你；9、最重要的是来到这里，你将拥有最广阔的职业发展空间，最充足的资源支持，最人性化的管理，不管你在那个岗位，只要你可做，就有机会成为部门leader进而走进公司高级管理层有对金融行业感兴趣者可积极与HR联系争取面试机会！！！直接投递简历，公司会当天审核，审核通过后会通知面试公司地址北京市朝阳区潘家园北京汽车大厦1402室。乘车路线地铁10号线潘家园站。人事部电话17718337232  （对职位有疑问或有兴趣者，请积极与HR联系）人事汪经理,北京市朝阳区东三环南路25号北京汽车大厦1402,2018-03-18,北京-朝阳区,股份制企业,100-499人,,本科,8001-10000元/月
北京,数据分析,6k-1.5w聘请数据分析师 助理,94%,北京万向卓迹商贸有限公司,8001-10000,北京,最新,http://jobs.zhaopin.com/409386535251205.htm,,,北京市朝阳区东三环南路25号北京汽车大厦1402工作地址北京市朝阳区东三环南路25号北京汽车大厦1402,2018-03-18,北京,股份制企业,100-499人,,大专,8001-10000元/月
