城市,关键字,职位名称,反馈率,公司名称,职位月薪,工作地点,公布时间,职位链接,岗位职责,技能要求,公司地址,保存时间,公司地点,公司性质,公司规模,工作经验,学历要求,职业薪水
北京,数据挖掘,数据挖掘工程师,,玫瑰视界(北京)网络科技有限公司,20001-30000,北京-朝阳区,最新,http://jobs.zhaopin.com/510459422250280.htm,,,北京市朝阳区望京街10号望京SOHOT3B座2305,2018-03-18,北京-朝阳区,民营,100-499人,3-5年,本科,20001-30000元/月
北京,数据挖掘,中级数据挖掘工程师,,北京轻松筹网络科技有限公司,18000-30000,北京-东城区,最新,http://jobs.zhaopin.com/208628781250635.htm, 岗位职责1.负责用户画像和智能推荐系统的算法开发，以及相关模块的设计和实现。2.分析用户的基本属性和行为轨迹，并预测用户的潜在特性和行为。3.根据用户画像进行用户分群，并进行相关的精准推荐。 ,1.计算机相关专业，本科及以上学历，3年以上数据挖掘相关工作经验。2.具有良好的逻辑分析能力、沟通能力和团队合作意识。3.熟悉常用的推荐算法，理解主流的监督式机器学习模型。4.参与过用户画像系统和推荐系统从0到1的构建。5.过硬的数据清洗和处理技能，深刻理解相关要义。6.扎实的编程技能，熟悉Java、Python和Scala等语言。7.熟悉MySQL、Redis等数据库。8.有较强的执行力以及分析问题和解决实际问题的能力。 加分技能1.有大规模推荐系统的研发经验。2.有处理海量实时数据和离线数据的经验。3.参与过用户画像系统和推荐系统从1到10的构建。4.熟悉sklearn、TensorFlow、NLTK等机器学习框架者。5.熟悉Hadoop、Spark、HBase、Hive、Kafka、Storm等计算平台和工具。6.掌握机器学习、深度学习、图像识别、自然语言处理中的一项或多项。,东城区东直门北小街歌华大厦B座10层1021室,2018-03-18,北京-东城区,民营,100-499人,3-5年,本科,18000-30000元/月
北京,数据挖掘,数据挖掘工程师,99%,创维集团有限公司,10000-17000,北京,招聘中,http://jobs.zhaopin.com/366234122250968.htm,1.高效按时完成数据挖掘任务。2.不断迭代算法模型，保证算法模型作用到业务系统到效果提升；按提升百分比考核。3.根据业务方运营，产品需求，制定数据挖掘和分析方法，并按时完成。4.完成用户画像、推荐、广告业务到核心模型搭建，并依据业务迭代需求不断修正、优化；保证业务功能到实现和效果预估。,1、精通C++/Java/scala，有较强的工程能力，熟悉常用算法和数据结构；2、熟悉互联网广告的基础知识与理论（比如拍卖理论，投放决策机制），掌握计算广告或推荐的重要技术点（比如CTR预估，实时竞价和精准投放，用户兴趣建模，查询扩展，协调过滤等）；3、熟悉分类、聚类、特征筛选及降维等常用数据挖掘技术；熟悉常见机器学习技术；熟悉常用推荐算法；4、有页面分析、自然语言处理、用户行为挖掘等经验的优先。,北京市海淀区海淀黄庄,2018-03-18,北京,民营,1000-9999人,1-3年,本科,10000-17000元/月
北京,数据挖掘,WXG08-122 微信推荐数据挖掘算法工程师,,深圳腾讯计算机系统有限公司,面议,北京,最新,http://jobs.zhaopin.com/120072290295717.htm,负责用户兴趣标签的提取挖掘负责用户人群挖掘和协同挖掘；负责第三方用户行为分析和画像挖掘；负责用户行为数据分析及新技术点孵化；负责海量用户数据挖掘算法的研究应用。,计算机相关专业硕士及以上学历，两年以上的互联网工作经验；熟练掌握C/C++，Java，python等编程语言，熟练使用linux环境；熟悉常用的自然语言处理、机器学习、数据挖掘算法，并有相关项目经验；参与过搜索引擎、推荐系统、对话系统和广告系统等线上系统者优先；参与过知识图谱、排序、点击率预估、语义匹配等模块的优先；责任心强，积极主动，勇于接受挑战，具有良好的团队合作和沟通能力。,,2018-03-18,北京,民营,10000人以上,无经验,,
北京,数据挖掘,OMG097-数据挖掘工程师(北京）,,深圳腾讯计算机系统有限公司,面议,北京,最新,http://jobs.zhaopin.com/120072290288496.htm,从事视频相关的数据挖掘和分析工作,计算机、统计、数学、信息技术等相关专业，硕士及以上学历；3年以上工作经历；具有丰富的数据挖掘项目操作经验，熟悉常见的数据挖掘分类、聚类、推荐相关基础算法；具有较强编程能力，熟练使用至少一种脚本语言（python/shell等），有C++开发经验，熟悉linux开发环境，有DeepLearning相关经验优先；较好的沟通能力，能快速理解业务，对数据敏感，并能主导项目的进度，保证团队产出。优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；,北京,2018-03-18,北京,民营,10000人以上,3-5年,硕士,
北京,数据挖掘,SA-腾讯社交广告数据挖掘工程师（北京）,,深圳腾讯计算机系统有限公司,面议,北京,最新,http://jobs.zhaopin.com/120072290289010.htm,负责针对特定的广告行业需求，基于大规模用户数据，对用户兴趣、偏好进行数据挖掘和分析；负责挖掘广告主感兴趣的人群，协助广告主在广点通系统中进行广告定向投放；负责通过数据分析追踪广告投放效果，推动特定广告行业的效果优化；分析用户社交行为，对社交广告的传播算法做出优化；研究广告投放效果分析，建设智能投放分析系统。,本科及以上学历，硕士、博士优先，2年以上相关工作经验；具备扎实的数据结构和算法功底，编码强悍；熟悉Linux开发环境，精通C/C++，熟悉Python、Java更好；有自然语言处理、机器学习知识背景，有实践经验更佳；有深度学习、搜索引擎、推荐系统相关技术经验者优先；有海量数据处理和并行计算开发经验者优先，如Hadoop、Storm、Spark等；优秀的分析问题、解决问题能力和团队合作意识。,北京,2018-03-18,北京,民营,10000人以上,1-3年,本科,
北京,数据挖掘,高级数据挖掘,,北京东奥华宇国际教育科技有限公司,30000-35000,北京-海淀区,最新,http://jobs.zhaopin.com/261047287250138.htm,1.负责建设、维护、优化基于Spark／Hadoop生态技术的大数据集群和计算框架；2.通过提供平台化的计算框架，支撑海量数据分析、数据挖掘、机器学习等工作；3.负责数据服务平台架构的系统设计和调优；4.关注开源技术动态，预研、评测大数据生态新技术，推动集群技术架构持续更新；5.对公司内的产品进行算法建模。数据模型，对各数据指标的计算和分析，提供多维度海量数据查询支持；6.培养并带领初级工程师，进行技术设计、代码编写的指导和评审；,1.计算机、信息系统、数学或相近专业本科以上学历，4年以上大数据研发经验；2.精通java/python中一门语言，精通SparkSql/Hadoop生态并有3实战经验，包括但不限于Hadoop(HDFS/MapReduce/Hive/Hbase/impala)、Spark、Kafka的使用等，能够熟练安装、配置、部署和优化大型Hadoop集群系统；3.熟悉聚类、分类、回归、图模型等机器学习算法，对常见的核心算法理解透彻，有实际建模经验；4.熟悉整个大数据的完整处理流程，包括数据的采集、清洗、预处理、存储、分析挖掘和数据可视化，能够设计、开发平台化数据产品；5.有优秀的业务理解能力，对数据敏感；做过OLAP，OLTP相关工作者优先；6.熟悉机器学习的相关的基础算法，对原理了解者优先；7.熟练Linux系统常用命令与shell脚本语言；,北京市海淀区中关村南大街甲18号院1-4号楼7层A座07-7A-02,2018-03-18,北京-海淀区,民营,500-999人,3-5年,本科,30000-35000元/月
北京,数据挖掘,数据挖掘工程师,99%,北京位来小猎科技有限公司,6001-8000,北京-海淀区,招聘中,http://jobs.zhaopin.com/614535884250023.htm,1、根据公司需要，在各大网站发布职位信息。2、调查公司所需人才的外部人力资源存量与分布状况，并进行有效分析，对招聘渠道实施规划、维护、拓展，保证人才层次丰富、质量高，确保招聘渠道能有效满足公司的用人需求。3、搜集简历，对简历进行分类、筛选，汇总。4、负责招聘广告的撰写，招聘网站的维护和更新，以及招聘网站的信息沟通。5、总结招聘工作中存在的问题，提出优化招聘制度和流程的合理化建议，完成招聘分析报告。6、负责建立企业人才储备库，做好简历管理与信息保密工作。,1、财务，会计，经济等相关专业大专及以上学历；2、熟悉现金管理及银行结算，财务软件操作；3、熟练运用用友办公自动化软件及相关财务软件；4、掌握基本财务知识，熟悉财务管理制度。福利情况1、创业公司晋升速度快晋升通道清晰畅通，具体看能力（晋级快）2、创业公司待处理事务多，锻炼全面，可以快速学习提升自己（个人提升快）3、周末双休4、住宿补贴（房租自己出500剩下的公司补）5、入职就上五险一金（五险一金）6、扫地僧谈话机会（几位老板话痨）7、绩效奖（能者多得！！！）8、6000底薪职能类别统计员财务助理/文员 数据统计员数据挖掘师数据采集关键字出纳员财务会计助理财务审计税务会计助理会计文员统计员,北京市朝阳区安定路39号1幢11层1108B室,2018-03-18,北京-海淀区,民营,20-99人,,不限,6001-8000元/月
北京,数据挖掘,数据挖掘技术经理,83%,深圳索信达数据技术股份有限公司,30000-50000,北京,招聘中,http://jobs.zhaopin.com/150677410250468.htm,1、模型应用。通过机器学习算法、统计模型盘活存量客户，实现存量客户价值经营、贷中风险控制等，为业务创造价值。2、洞察业务。通过对数据的敏锐洞察，深入挖掘客户潜在价值和需求，推动公司业务发展。3、决策支持。为公司各业务部门提供贷中的数据支持。4、体系建设。参与数据挖掘体系建设，为客户价值经营提供便捷的工具和系统支持。5、项目支持。为公司的风险政策分析、风险定价、客户挽留、市场营销策略等重点项目提供支持。6、团队管理。协助团队负责人管理团队。,1、硕士学历，数理统计、计算机等专业优先（优秀本科生可考虑）。2、熟悉主流的统计模型、机器学习算法，并且有过项目实践者优先，了解深度学习更佳。3、3年以上工作经验，含2年以上消费信贷行业数据分析经验，有一定管理团队经验者优先。4、精通一门编程语言，熟悉运用SAS、SQL或Python更佳。5、逻辑严谨，具备一定的数据分析能力与执行力，沟通能力良好，愿意理解业务场景。,北京市朝阳区光华路9号SOHO,2018-03-18,北京,上市公司,100-499人,3-5年,本科,30000-50000元/月
北京,数据挖掘,数据挖掘工程师,,有利网,20000-35000,北京-海淀区,招聘中,http://jobs.zhaopin.com/499394524252004.htm,1、基于用户信贷表现数据制定有效的贷后催收策略，提升催收效率和有效性；2、使用行为数据、文本数据、关系数据等对用户进行深入分析，构建用户画像，用户关系网络等工具，持续优化用户风险评估模型、用户价值模型等；3、负责组建智能催收团队，有能力带领团队将技术手段在业务上进行落地实践。,1、计算机，数学，通信等相关专业本科及以上学历；2、两年以上机器学习及算法工程师工作经验，具有完整的机器学习、数据挖掘相关项目经验；3、具有深度学习，NLP，复杂网络分析等经验优先；4、具有较强的工程编码能力，熟悉python/java等语言，对算法，数据结构有较好的理解；5、良好的沟通和团队协作能力，对新技术有探索兴趣，乐于分享；6、目标导向的工作态度，以及使命必达的职业素养。,海淀区中关村丹棱街甲1号互联网金融中心24层,2018-03-18,北京-海淀区,其它,1000-9999人,1-3年,本科,20000-35000元/月
