城市,关键字,职位名称,反馈率,公司名称,职位月薪,工作地点,公布时间,职位链接,岗位职责,技能要求,公司地址,保存时间,公司地点,公司性质,公司规模,工作经验,学历要求,职业薪水
北京,机器学习,WXG08-122 微信搜索机器学习算法工程师,,深圳腾讯计算机系统有限公司,面议,北京,最新,http://jobs.zhaopin.com/120072290295713.htm,负责微信搜索排名算法优化；负责LTR、ClickModel等相关算法研发；负责模型特征工程的优化和实验。,计算机相关专业硕士及以上学历，两年以上的互联网工作经验；熟练掌握C/C++，Java，python等编程语言，熟练使用linux环境；熟悉常用的自然语言处理、机器学习、数据挖掘算法，并有相关项目经验；有搜索、推荐或广告业务的排序质量算法工作经验；有分布式机器学习平台构建经验；对深度学习、强化学习、迁移学习有深刻的理解和实战应用。,,2018-03-18,北京,民营,10000人以上,无经验,,
北京,机器学习,机器学习工程师/研究员,,北京商高科技有限公司,20000-25000,北京,最新,http://jobs.zhaopin.com/482088230250004.htm,使用最新机器学习、深度学习技术实现前沿的人工智能系统，设计和训练深度神经网络实现图像、语音、文字等信息的处理、识别；,基本专业能力（按优先次序）有钻研精神，对新技术有浓厚的学习兴趣，能够快速适应新技术；熟练的编程技巧，熟练掌握多种程序语言较强的文档，文献检索和阅读能力；机器学习相关专业或自学机器学习技术，对深度学习等新技术有强烈兴趣；有图像处理、机器视觉和数据挖掘等学习或工作经历[加分项目]本科以上学历，IT相关专业；较好的英语文档阅读能力，良好的文档编写习惯；有过软件产品研发开发经历；熟悉Linux系统操作；掌握Python、C++、Java、Lua等脚本语言；有计算机并行、显卡加速程序开发经历；尝试使用过Caffe，、Theano、Spark等；参与过开源软件开发；提供活跃的Github、oschina或相关技术论坛账号ID;证明你的相关能力的其他内容；＊请在简历或邮件上注明并解释自己与加分项相符的经历或能力。,北京市丰台区南四环西路186号,2018-03-18,北京,民营,20-99人,,本科,20000-25000元/月
北京,机器学习,MIG16-地图检索机器学习算法高级研发工程师（北京）,,深圳腾讯计算机系统有限公司,面议,北京,最新,http://jobs.zhaopin.com/120072290295087.htm,负责腾讯地图搜索策略算法的研发工作，持续迭代提升转化效果和用户体验地图场景下用户查询理解，机器学习排序，实时排序模型，深度学习模型参与搜索引擎各个底层模块的架构设计、开发工作,计算机相关专业本科以上学历，2年以上工作经验；熟悉Linux系统，精通Linux/Unix平台上的C/C编程，gcc/g/gdb开发环境熟悉常用的排序模型和推荐算法;有搜索算法，数据挖掘、个性化推荐相关领域开发经验优先优先;优秀的逻辑思维能力，良好的团队合作精神，较强的沟通能力和学习能力,,2018-03-18,北京,民营,10000人以上,无经验,,
北京,机器学习,图像识别和机器学习工程师,,速得尔科技(北京)有限公司,12000-24000,北京-昌平区,最新,http://jobs.zhaopin.com/310597188250025.htm,1、负责图像处理、目标检测和识别算法的设计和实现； ,1.硕士及以上学历，熟悉图像处理及机器视觉的基础理论和算法知识。2.有基于深度学习和神经网络构建图像识别的经验。3.具有较强的编程实现能力，精通c/c++或python编程。4.有OpenCV等经验者优先。,Room301JiyanlongTower，XISANQI，Changping,2018-03-18,北京-昌平区,民营,20-99人,3-5年,不限,12000-24000元/月
北京,机器学习,资深机器学习工程师 (020733),,京东金融,面议,北京,招聘中,http://jobs.zhaopin.com/192921312300074.htm,1，授信/反欺诈—建立和优化风控、反欺诈、账户安全体系，设计并实现反欺诈、账户安全场景下的风险评价模型；2，智能服务—围绕京东金融业务提供基于如人脸识别、语义分析、声纹识别、虹膜识别等成熟或创新的应用实践；3，精准营销—将创新算法应用于行为轨迹挖掘以及用户精准营销等应用场景，优化现有模型的预测能力。(多工作方向，视候选人具体情况而定),1、硕士以上学历，计算机、数学和统计学背景；2、扎实的理论和算法基础，能够在Spark环境下快速高效的实现常用机器学习模型和算法；3、良好的学习意愿和学习能力，能够快速掌握工作所需技能，对海量数据在金融场景下的应用感兴趣。,北京经济开发区科创11街18号院京东大厦,2018-03-18,北京,外商独资,1000-9999人,5-10年,硕士,
北京,机器学习,高级机器学习平台研发工程师-系统优化方向,,京东商城,面议,北京,招聘中,http://jobs.zhaopin.com/192921312309588.htm,负责大规模机器学习平台研发工作。跨越系统与算法的边界，设计更优雅高效的分布式机器学习算法，来驱动数万核数千卡集群上的深度学习算法，通过更有效地挖掘算力，来驱动更好的建模技术。1、需要针对BLAS及高层的Eigen做开发和性能调优相关工作2、需要具备GCC、HHVM相关编译优化经验 ,1、扎实的LinuxC/C++/Shell编程功底。2、熟练使用Python语言。3、熟悉操作系统原理、熟悉x86计算机体系结构，能够做内存及CPU调度层面的优化工作。4、具备数值算法技能，了解常见的异构计算优化技巧（GPU）。加分项1、熟练使用Tensorflow/mxnet等机器学习框架。2、从事过高性能计算领域性能优化者优先，ISC竞赛者优先。3、从事过CUDAKernel开发者优先。4、Github项目优秀者、有优秀技术博客者优先。,北京市朝阳区北辰西路8号北辰世纪中心A座6层,2018-03-18,北京,外商独资,1000-9999人,,本科,
北京,机器学习,高级Python研发工程师（机器学习业务方向）,,京东商城,面议,北京,招聘中,http://jobs.zhaopin.com/192921312309590.htm,负责京东广告大规模机器学习平台业务平台的后台研发工作。 ,1、扎实的Linux环境下Python/Shell编程功底2、有PythonWeb框架（tornado/django/flask）、APIServer开发经验3、Python性能调优经验（多线程、异步）4、熟悉TCP/IP，HTTP等网络协议，熟悉RESTfulAPI设计5、熟悉MySQL、HBase、Redis等常用数据库的使用、开发与调优加分项1、有2年及以上Python架构经验优先2、了解常见的机器学习框架，如Tensorflow/mxnet等。3、开源贡献者优先，对开源机器学习框架贡献者优先4、Github项目优秀项目者优先，技术博客者优先。5、熟悉Golang编程优先6、熟悉docker/K8s优先,北京市朝阳区北辰西路8号北辰世纪中心A座6层,2018-03-18,北京,外商独资,1000-9999人,,本科,
北京,机器学习,机器学习工程师（算法）,,北京恒昌利通投资管理有限公司,面议,北京-朝阳区,最近,http://jobs.zhaopin.com/392160220261299.htm,1、负责大规模结构化、非结构化的数据的处理、数据分析工作；2、负责公司信用模型、欺诈模型的建模工作；3、负责金融领域知识图谱的建立，组团欺诈，中介识别的挖掘工作；4、应用最新的数据挖掘、机器学习技术持续提升模型的各项技术指标；5、负责规则引擎的研发工作。,1、计算机相关专业本科及以上学历；2、数据挖掘，机器学习或自然语言处理相关专业；3、编程基础扎实，精通java或c++等编程语言，熟练掌握python、shell等脚本语言，熟悉常见的算法和数据结构；4、熟悉linux操作系统开发，熟悉数据分析；5、熟悉常见机器学习算法原理，熟练掌握并应用聚类、分类、回归、排序等模型解决实际业务问题；6、有良好的团队合作意识和沟通能力。,北京市朝阳区光华路7号汉威大厦东区5层A1,2018-03-18,北京-朝阳区,民营,10000人以上,3-5年,硕士,
北京,机器学习,数据分析师（机器学习）,,海尔集团公司,面议,北京-海淀区,招聘中,http://jobs.zhaopin.com/121066847317237.htm,1、负责个性化推荐系统开发，实现相关大规模数据挖掘/机器学习算法2、参与设计和改进推荐引擎架构，提升在线推荐系统性能，稳定性，扩展性3、参与推荐策略设计，为推荐策略迭代提供高效和灵活的架构支撑。4、跟踪互联网领域相关推荐和机器学习算法发展趋势，对前沿技术结合业务进行实验和落地。,1、有3年及以上的推荐系统、个性化搜索、广告引擎等相关领域较强的算法工作经验。2、有Java，C++或Python等面向对象设计开发经验，具备较强的编码能力和扎实的数据结构和算法功底3、掌握运用Hadoop，Spark或MPI等开源平台和工具对大规模数据进行处理和计算4、熟悉常用的机器学习和数据挖掘算法，如分类，聚类，回归，协同过滤，内容过滤等，有大规模机器学习优化项目经验优先，有相关深度学习模型应用经验优先。5、有大规模海量数据机器学习/数据挖掘/计算广告/搜索引擎相关经验优先6、具备良好的沟通和表达能力，有较好的产品意识,北京市海淀区知春路106号北京中关村皇冠假日写字楼6层,2018-03-18,北京-海淀区,国企,10000人以上,,不限,
北京,机器学习,数据挖掘/机器学习实习生,,北京奇虎科技有限公司,面议,北京,招聘中,http://jobs.zhaopin.com/467717611259513.htm,参与挖掘站点/网页特征，用机器学习/深度学习技术优化资源分配、数据抓取、rank基础特征抽取等,1、熟悉linux系统下的程序开发，掌握python/php/shell中至少1门语言；2、了解hadoop/spark分布式计算环境3、有机器学习、数据挖掘、推荐算法等相关领域经验者优先4、实习期3月以上,公司名称北京奇虎科技有限公司公司主页http//www.360.cn,2018-03-18,北京,上市公司,1000-9999人,1年以下,本科,
